id,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,y
16342,2013-09-08,Newcastle,16.8,22.5,0.4,,,,,SW,SE,4.0,9.0,78.0,64.0,,,6.0,6.0,19.8,22.0,No,0.0,No
4967,2014-10-01,BadgerysCreek,13.7,20.9,0.0,,,WSW,61.0,SW,SSW,44.0,19.0,26.0,21.0,1017.7,1017.7,,,16.2,20.0,No,0.0,No
19869,2015-05-22,NorahHead,13.5,17.5,2.4,,,S,96.0,WSW,S,17.0,63.0,95.0,77.0,1015.7,1017.6,,,13.5,16.8,Yes,24.4,Yes
17134,2015-11-27,Newcastle,18.6,22.7,0.0,,,,,SE,,9.0,,62.0,,,,8.0,,20.0,,No,0.0,No
1041,2011-11-21,Albury,8.1,23.5,0.0,,,W,33.0,ENE,WSW,4.0,19.0,54.0,36.0,1018.1,1014.3,,,17.0,22.6,No,2.6,Yes
2948,2017-04-24,Albury,11.0,23.3,0.0,,,ESE,17.0,ENE,SE,2.0,9.0,81.0,59.0,1022.3,1016.9,1.0,2.0,15.8,22.8,No,9.6,Yes
1273,2012-07-10,Albury,5.2,11.9,2.4,,,ENE,44.0,SSE,NE,7.0,22.0,95.0,97.0,1020.8,1015.6,7.0,8.0,9.1,11.2,Yes,27.2,Yes
10408,2013-04-24,CoffsHarbour,12.1,23.7,0.0,3.0,10.4,NE,24.0,SSW,ENE,2.0,15.0,64.0,55.0,1019.1,1016.1,1.0,2.0,20.6,22.7,No,0.0,No
7984,2014-11-11,Cobar,16.4,33.0,0.0,11.6,,SW,33.0,SSE,SW,15.0,22.0,21.0,3.0,1016.9,1013.2,1.0,0.0,21.2,31.3,No,0.0,No
14506,2016-11-10,Moree,16.6,31.8,19.6,,,WSW,31.0,ESE,SSW,13.0,13.0,70.0,37.0,1009.4,1007.1,,2.0,22.8,29.9,Yes,0.0,No
21990,2012-11-04,NorfolkIsland,15.7,19.6,0.0,6.0,6.2,ESE,37.0,SE,SE,20.0,22.0,63.0,49.0,1020.7,1019.8,7.0,5.0,17.8,18.6,No,0.0,No
17352,2016-07-10,Newcastle,8.2,18.7,0.2,,,,,,,0.0,,94.0,,,,2.0,,10.9,,No,0.0,No
24101,2010-05-28,Penrith,11.6,20.4,,,,NE,20.0,,NE,,13.0,,54.0,,,,,,20.0,,3.2,Yes
14970,2009-07-25,Newcastle,4.4,18.8,0.0,,,,,N,,4.0,0.0,94.0,38.0,,,0.0,0.0,8.0,17.8,No,0.0,No
7411,2013-04-17,Cobar,9.7,22.9,0.0,7.0,,SW,33.0,SSE,WSW,7.0,15.0,36.0,22.0,1016.6,1013.4,4.0,6.0,16.8,21.8,No,0.0,No
619,2010-08-21,Albury,6.3,12.9,0.0,,,WNW,39.0,WNW,W,17.0,19.0,86.0,68.0,1018.7,1017.8,8.0,3.0,7.0,12.0,No,0.2,No
12466,2010-08-10,Moree,14.1,16.8,3.0,4.2,0.0,NE,56.0,NE,NNE,37.0,17.0,93.0,93.0,1017.5,1013.6,8.0,8.0,14.6,16.2,Yes,10.8,Yes
9067,2009-05-22,CoffsHarbour,15.7,20.2,76.0,,0.0,ESE,87.0,ESE,E,46.0,44.0,90.0,78.0,1014.4,1011.0,8.0,7.0,17.6,19.8,Yes,19.6,Yes
1166,2012-03-25,Albury,6.2,21.0,0.0,,,SSW,24.0,SSE,WNW,2.0,13.0,85.0,46.0,1022.4,1020.5,,,10.2,19.8,No,0.0,No
13638,2014-02-09,Moree,20.2,36.8,0.0,11.2,12.9,NE,39.0,NE,E,28.0,6.0,53.0,29.0,1018.3,1014.1,0.0,1.0,24.4,34.6,No,0.0,No
20714,2009-04-07,NorfolkIsland,18.4,24.5,0.4,5.6,5.4,NE,28.0,NE,SE,13.0,6.0,68.0,63.0,1018.2,1016.3,5.0,6.0,22.3,22.4,No,0.2,No
23334,2016-09-08,NorfolkIsland,15.3,19.0,0.4,4.0,,S,50.0,SSE,SSE,24.0,31.0,63.0,53.0,1026.7,1023.9,8.0,2.0,17.1,16.8,No,0.3,No
21504,2011-07-07,NorfolkIsland,16.6,20.4,0.0,3.8,6.7,W,69.0,NW,WNW,20.0,35.0,70.0,70.0,1013.0,1010.5,1.0,2.0,18.5,19.8,No,1.0,No
14147,2015-10-24,Moree,16.0,30.7,0.0,,,NE,39.0,ENE,N,20.0,9.0,48.0,26.0,1022.1,1017.6,,1.0,21.6,28.8,No,0.0,No
24872,2012-09-08,Penrith,8.1,21.2,0.0,,,W,48.0,SSE,SW,6.0,22.0,41.0,34.0,,,,,15.6,19.8,No,0.0,No
24448,2011-07-08,Penrith,0.6,18.1,0.0,,,WNW,24.0,SSE,NW,4.0,4.0,92.0,40.0,,,,,4.8,16.9,No,0.0,No
16833,2015-01-20,Newcastle,17.4,26.2,38.4,,,,,,NE,0.0,28.0,95.0,68.0,,,8.0,2.0,18.8,25.0,Yes,1.0,No
19599,2014-08-23,NorahHead,10.9,17.8,8.4,,,SE,39.0,SW,SSE,9.0,20.0,97.0,83.0,1030.7,1028.4,,,13.5,16.4,Yes,5.2,Yes
2902,2017-03-05,Albury,19.2,32.4,0.0,,,SE,33.0,S,E,9.0,9.0,77.0,28.0,1013.2,1010.1,2.0,,20.7,31.0,No,0.0,No
12599,2010-12-21,Moree,8.1,28.9,0.0,9.2,13.0,S,39.0,SSE,S,11.0,19.0,36.0,15.0,1011.7,1009.7,1.0,6.0,20.2,27.6,No,0.0,No
5911,2017-05-29,BadgerysCreek,6.9,17.3,0.2,,,WSW,37.0,WSW,SW,15.0,19.0,49.0,35.0,1018.1,1018.6,,,13.0,16.2,No,0.6,No
6168,2009-08-18,Cobar,5.2,18.8,0.0,3.4,10.7,ESE,26.0,ENE,ESE,7.0,11.0,36.0,24.0,1029.4,1025.8,0.0,0.0,13.4,18.4,No,0.0,No
17463,2016-10-30,Newcastle,16.0,30.2,0.0,,,,,NW,,9.0,,75.0,,,,6.0,,21.2,,No,0.0,No
18596,2011-09-05,NorahHead,12.8,22.5,0.0,,,NNE,43.0,N,NE,11.0,24.0,79.0,76.0,1026.9,1023.5,,,17.4,18.7,No,0.0,No
24763,2012-05-21,Penrith,8.2,20.5,0.0,,,NNE,19.0,,ENE,0.0,6.0,99.0,56.0,,,,,12.3,19.8,No,0.4,No
20613,2017-06-21,NorahHead,10.7,18.2,1.6,,,S,44.0,W,WSW,9.0,9.0,83.0,74.0,1025.3,1024.6,,,12.2,17.3,Yes,0.0,No
15384,2010-09-12,Newcastle,6.2,22.0,0.0,,,,,,,,,,,,,2.0,,14.3,,No,0.0,No
7514,2013-07-29,Cobar,10.6,22.7,0.0,4.0,,NNE,35.0,NNE,NW,22.0,15.0,62.0,41.0,1022.8,1019.3,6.0,7.0,13.8,20.9,No,3.4,Yes
14415,2016-08-11,Moree,12.0,16.3,7.6,5.4,,,,,,,,90.0,56.0,1022.1,1020.3,6.0,,13.5,15.8,Yes,0.0,No
1570,2013-07-05,Albury,8.4,12.2,0.0,,,WNW,72.0,WNW,WNW,30.0,20.0,73.0,56.0,1011.7,1014.0,8.0,1.0,9.0,11.5,No,1.6,Yes
6258,2009-11-17,Cobar,23.6,38.2,0.0,16.8,12.1,SW,43.0,SSE,SW,11.0,20.0,16.0,9.0,1006.8,1004.6,1.0,1.0,28.8,36.8,No,0.0,No
4180,2012-05-26,BadgerysCreek,3.1,17.0,0.0,,,WSW,54.0,NW,WSW,15.0,9.0,50.0,50.0,1014.6,1013.1,,,12.3,14.9,No,0.0,No
15857,2012-02-13,Newcastle,18.2,25.8,0.0,,,,,,,0.0,,81.0,,,,2.0,,22.5,,No,3.4,Yes
16555,2014-04-16,Newcastle,15.0,23.2,21.8,,,,,SW,S,4.0,9.0,77.0,59.0,,,7.0,5.0,18.0,21.8,Yes,0.0,No
9939,2011-11-10,CoffsHarbour,18.3,31.5,0.0,5.0,7.7,NE,33.0,NNW,NE,17.0,28.0,46.0,62.0,1012.6,1011.8,3.0,7.0,28.7,25.6,No,0.0,No
16944,2015-05-17,Newcastle,10.5,19.8,12.0,,,,,,SE,0.0,4.0,99.0,65.0,,,6.0,6.0,15.1,18.5,Yes,0.2,No
4476,2013-05-18,BadgerysCreek,5.9,18.5,0.0,,,WSW,33.0,WSW,SW,20.0,17.0,52.0,38.0,1015.0,1012.2,,,13.9,17.9,No,0.0,No
17951,2009-09-22,NorahHead,13.2,29.5,,,,NNW,70.0,,NNW,,43.0,,49.0,,999.7,,,,26.7,,1.6,Yes
9320,2010-01-30,CoffsHarbour,22.3,28.7,0.0,3.2,9.9,SSW,44.0,SSW,SSE,31.0,22.0,70.0,68.0,1014.8,1014.4,5.0,3.0,26.0,27.7,No,10.8,Yes
8130,2015-04-06,Cobar,15.5,26.7,4.4,5.0,,WNW,39.0,N,WNW,4.0,24.0,93.0,37.0,1007.3,1002.2,7.0,6.0,16.5,25.7,Yes,0.0,No
19647,2014-10-11,NorahHead,15.4,22.2,0.0,,,NNE,30.0,,ENE,0.0,15.0,80.0,74.0,1016.7,1014.6,,,18.8,21.5,No,0.2,No
24575,2011-11-14,Penrith,16.6,38.7,0.0,,,W,59.0,SE,NW,2.0,22.0,97.0,23.0,,,,,19.6,36.3,No,0.0,No
5741,2016-11-22,BadgerysCreek,14.5,36.8,0.0,,,E,30.0,S,NNE,4.0,13.0,56.0,22.0,1014.6,1010.6,,,26.2,34.2,No,0.0,No
13024,2012-03-26,Moree,15.7,29.2,0.0,6.8,11.1,NE,37.0,NNE,NNW,15.0,13.0,61.0,34.0,1021.1,1017.6,2.0,4.0,19.6,28.0,No,0.0,No
15993,2012-07-14,Newcastle,4.6,17.2,13.0,,,,,NW,NW,19.0,15.0,74.0,53.0,,,0.0,0.0,11.5,16.2,Yes,0.0,No
55,2009-01-26,Albury,15.7,38.4,0.0,,,S,33.0,SSE,WSW,7.0,7.0,48.0,12.0,1017.7,1014.6,,,23.4,36.5,No,0.0,No
24000,2010-02-06,Penrith,20.0,23.9,92.2,,,S,35.0,SSW,S,13.0,22.0,99.0,89.0,,,,,21.0,23.2,Yes,44.8,Yes
1204,2012-05-02,Albury,7.6,16.3,0.0,,,W,30.0,NE,WNW,17.0,22.0,94.0,89.0,1021.7,1019.5,7.0,8.0,14.2,15.8,No,1.6,Yes
8753,2016-12-31,Cobar,24.0,37.0,2.6,,,NNW,41.0,NNE,SSE,9.0,11.0,,,1004.6,1002.1,5.0,7.0,27.9,36.0,Yes,0.6,No
21037,2010-02-24,NorfolkIsland,19.5,24.1,0.0,5.2,0.3,NE,20.0,NE,S,11.0,13.0,74.0,91.0,1015.9,1015.0,7.0,7.0,23.3,22.6,No,2.2,Yes
10401,2013-04-17,CoffsHarbour,14.7,22.8,7.6,0.4,6.8,SW,26.0,SW,ESE,17.0,9.0,69.0,71.0,1015.9,1013.3,2.0,7.0,20.9,21.9,Yes,0.8,No
17709,2009-01-21,NorahHead,21.1,27.6,0.0,,,S,72.0,N,NE,15.0,37.0,77.0,71.0,1012.3,1008.3,,,24.5,25.6,No,2.0,Yes
21098,2010-04-26,NorfolkIsland,19.7,22.1,1.4,3.2,0.2,N,41.0,NE,NNE,19.0,24.0,93.0,90.0,1018.6,1015.4,8.0,8.0,20.5,21.3,Yes,32.0,Yes
8023,2014-12-20,Cobar,15.5,32.6,0.0,13.8,,SE,33.0,ESE,SE,15.0,13.0,19.0,10.0,1016.3,1012.5,0.0,0.0,23.4,30.7,No,0.0,No
16299,2013-07-27,Newcastle,4.4,19.8,0.0,,,,,,,0.0,0.0,80.0,62.0,,,0.0,2.0,10.0,18.0,No,0.0,No
18511,2011-06-11,NorahHead,10.9,17.1,9.4,,,S,57.0,SW,SSW,15.0,30.0,93.0,85.0,1023.6,1023.7,,,11.9,15.3,Yes,69.2,Yes
6932,2011-10-25,Cobar,17.3,27.0,2.8,11.2,,SSW,41.0,SSE,SW,7.0,20.0,75.0,52.0,1011.4,1011.1,6.0,7.0,21.1,24.4,Yes,0.0,No
16590,2014-05-21,Newcastle,12.7,23.5,0.0,,,,,NW,SW,2.0,4.0,70.0,65.0,,,1.0,3.0,18.0,21.8,No,0.1,No
24961,2013-01-06,Penrith,20.1,35.7,0.0,,,SE,33.0,SSW,SSE,7.0,7.0,75.0,35.0,,,,,24.0,34.3,No,0.0,No
24822,2012-07-19,Penrith,3.9,15.8,0.0,,,SW,31.0,SSE,SSE,2.0,13.0,85.0,58.0,,,,,9.4,14.1,No,0.2,No
7599,2013-10-22,Cobar,21.8,38.1,5.0,13.0,,NW,69.0,N,NNW,19.0,26.0,29.0,14.0,1011.0,1006.7,4.0,7.0,29.0,37.1,Yes,1.4,Yes
18481,2011-05-11,NorahHead,9.2,16.3,0.0,,,WNW,37.0,NW,WNW,11.0,13.0,55.0,51.0,1010.4,1007.1,,,13.7,14.7,No,0.0,No
4246,2012-07-31,BadgerysCreek,2.4,15.2,0.0,,,SW,37.0,SW,S,22.0,11.0,65.0,46.0,1026.5,1023.2,,,10.3,13.4,No,0.0,No
24612,2011-12-21,Penrith,17.5,25.4,0.0,,,ESE,22.0,WSW,E,2.0,7.0,80.0,63.0,,,,,20.1,22.8,No,0.6,No
1683,2013-10-27,Albury,5.3,21.3,0.0,,,NNW,22.0,SSE,WSW,6.0,13.0,68.0,36.0,1023.8,1020.6,,,11.9,20.3,No,0.0,No
17278,2016-04-27,Newcastle,9.8,23.3,0.0,,,,,,,0.0,,88.0,,,,7.0,,15.5,,No,0.2,No
420,2010-01-27,Albury,17.7,36.4,0.0,,,W,43.0,S,WSW,7.0,15.0,45.0,14.0,1011.4,1007.9,,,24.2,35.3,No,0.0,No
4108,2012-03-15,BadgerysCreek,18.4,28.6,0.0,,,E,28.0,,NE,0.0,7.0,89.0,60.0,1017.4,1013.9,,,21.0,27.4,No,0.0,No
21746,2012-03-05,NorfolkIsland,19.1,24.2,0.0,6.8,10.3,E,41.0,ESE,E,17.0,28.0,56.0,52.0,1017.0,1015.2,4.0,4.0,22.4,22.8,No,0.8,No
15362,2010-08-21,Newcastle,5.8,18.0,0.0,,,,,W,NW,4.0,11.0,47.0,52.0,,,0.0,1.0,11.5,16.5,No,0.0,No
4308,2012-10-03,BadgerysCreek,5.0,30.6,0.0,,,NNE,24.0,N,ENE,4.0,7.0,61.0,22.0,1026.2,1019.8,,,17.7,28.7,No,0.0,No
12440,2010-07-15,Moree,6.2,15.9,0.0,3.4,10.1,SSW,41.0,WSW,SW,24.0,28.0,78.0,48.0,1022.5,1021.1,0.0,1.0,10.1,14.8,No,0.0,No
3919,2011-09-05,BadgerysCreek,9.3,24.2,0.0,,,ENE,22.0,S,E,2.0,9.0,100.0,41.0,1026.6,1022.4,,,15.6,23.6,No,0.6,No
20516,2017-03-16,NorahHead,21.5,26.1,12.4,,,NE,54.0,ENE,NE,39.0,31.0,100.0,91.0,1012.1,1008.9,,,23.1,25.4,Yes,9.0,Yes
21375,2011-01-28,NorfolkIsland,20.7,24.1,2.6,2.0,0.9,SE,46.0,S,SW,24.0,24.0,99.0,89.0,1006.1,1006.8,8.0,6.0,21.6,23.1,Yes,0.4,No
13829,2014-09-20,Moree,3.9,24.2,0.0,,,SSW,43.0,ENE,SW,9.0,15.0,22.0,12.0,1022.6,1018.5,,,17.7,23.4,No,0.0,No
20089,2016-01-14,NorahHead,22.2,37.5,0.0,,,S,85.0,NNE,NE,17.0,28.0,91.0,68.0,1012.3,1008.5,,,25.9,30.3,No,26.6,Yes
12260,2010-01-16,Moree,21.6,32.9,0.0,9.6,9.9,SW,59.0,NNE,WNW,28.0,15.0,58.0,40.0,1012.6,1008.0,3.0,4.0,24.9,32.9,No,0.0,No
13607,2014-01-09,Moree,20.3,30.8,0.0,14.2,2.3,ENE,52.0,ENE,NNE,19.0,20.0,56.0,31.0,1019.4,1016.6,7.0,7.0,22.1,29.4,No,0.0,No
19863,2015-05-16,NorahHead,13.8,17.8,7.0,,,SSE,50.0,S,SSE,26.0,31.0,93.0,89.0,1034.4,1032.8,,,16.5,17.2,Yes,0.8,No
2615,2016-05-21,Albury,4.7,17.9,0.0,,,SE,13.0,,ESE,0.0,7.0,91.0,64.0,1027.1,1022.9,,,9.4,16.6,No,0.0,No
12204,2009-11-21,Moree,26.7,42.2,0.0,15.4,12.7,NNE,50.0,NNE,NNE,24.0,19.0,39.0,15.0,1010.6,1006.3,0.0,1.0,31.1,40.3,No,0.0,No
14918,2009-06-03,Newcastle,14.3,20.7,3.4,,,,,,,0.0,0.0,97.0,77.0,,,8.0,7.0,15.8,19.4,Yes,0.0,No
11058,2015-03-25,CoffsHarbour,22.0,24.8,0.0,,,S,37.0,S,SSW,26.0,13.0,81.0,91.0,1015.4,1015.5,8.0,8.0,24.1,22.0,No,0.4,No
16374,2013-10-10,Newcastle,13.8,34.4,0.0,,,,,NW,NW,9.0,46.0,34.0,15.0,,,0.0,0.0,23.5,33.8,No,0.0,No
5738,2016-11-19,BadgerysCreek,15.2,27.3,0.0,,,SE,28.0,SE,E,6.0,15.0,65.0,58.0,1017.8,1017.5,,,22.9,24.7,No,0.0,No
23643,2009-02-02,Penrith,21.2,35.4,0.0,,,ENE,39.0,NE,NE,4.0,13.0,71.0,36.0,,,,,25.4,34.1,No,0.2,No
7242,2012-08-30,Cobar,7.1,17.4,0.0,6.2,,SW,37.0,SSW,SW,19.0,20.0,62.0,25.0,1018.9,1017.2,7.0,7.0,10.7,16.4,No,0.0,No
2069,2014-11-22,Albury,12.6,33.2,0.0,,,W,35.0,ESE,W,9.0,15.0,58.0,21.0,1013.0,1010.1,,2.0,20.1,32.7,No,0.6,No
15602,2011-05-29,Newcastle,7.2,17.8,5.8,,,,,,,0.0,0.0,97.0,79.0,,,7.0,6.0,13.5,16.2,Yes,0.0,No
15952,2012-05-29,Newcastle,12.2,18.7,5.4,,,,,,,0.0,0.0,87.0,66.0,,,7.0,6.0,14.0,17.4,Yes,4.2,Yes
3271,2009-09-20,BadgerysCreek,7.2,28.7,0.0,,,WSW,69.0,ENE,SSW,6.0,19.0,56.0,42.0,1015.2,1010.7,,,19.1,25.9,No,1.0,No
19669,2014-11-02,NorahHead,14.2,21.5,1.2,,,SE,43.0,WSW,SSE,13.0,37.0,32.0,44.0,1017.6,1017.3,,,17.3,19.9,Yes,0.2,No
4146,2012-04-22,BadgerysCreek,12.7,19.8,1.2,,,WSW,11.0,NE,WSW,6.0,6.0,100.0,92.0,1014.5,1011.2,,,15.6,19.3,Yes,1.6,Yes
11060,2015-03-27,CoffsHarbour,20.0,24.7,3.6,,,SSW,50.0,SW,SE,22.0,17.0,49.0,54.0,1020.1,1018.9,,,22.2,23.9,Yes,0.0,No
12220,2009-12-07,Moree,19.7,41.2,0.0,11.4,13.1,NNE,43.0,NNE,NNW,28.0,19.0,33.0,9.0,1012.4,1008.1,0.0,3.0,30.0,40.0,No,0.0,No
11922,2009-02-12,Moree,16.1,33.4,0.0,10.2,12.3,NE,54.0,E,N,26.0,11.0,53.0,22.0,1010.5,1007.6,1.0,7.0,23.0,32.1,No,0.0,No
9116,2009-07-10,CoffsHarbour,10.9,17.5,13.6,3.8,5.3,SSW,46.0,SW,SSW,28.0,31.0,77.0,74.0,1023.4,1021.0,6.0,5.0,14.1,16.4,Yes,9.0,Yes
16329,2013-08-26,Newcastle,7.6,22.2,0.0,,,,,NW,,4.0,0.0,67.0,54.0,,,0.0,6.0,14.6,20.5,No,0.0,No
16275,2013-07-03,Newcastle,6.6,18.5,0.2,,,,,,NE,0.0,4.0,97.0,61.0,,,1.0,0.0,9.2,17.0,No,0.2,No
18877,2012-06-13,NorahHead,12.6,18.3,16.8,,,SSE,52.0,SSE,SW,26.0,13.0,76.0,88.0,1020.1,1018.6,,,16.7,16.0,Yes,1.6,Yes
14522,2016-11-26,Moree,13.5,33.0,0.0,,,W,31.0,E,ESE,13.0,9.0,33.0,17.0,1015.2,1011.5,,,23.5,31.2,No,0.0,No
7585,2013-10-08,Cobar,10.1,25.9,0.0,9.0,,SW,48.0,SE,S,9.0,20.0,32.0,19.0,1017.3,1016.3,0.0,0.0,18.5,24.5,No,0.0,No
24608,2011-12-17,Penrith,14.8,25.3,0.0,,,ESE,22.0,S,NE,2.0,9.0,74.0,47.0,,,,,18.3,23.6,No,0.0,No
2252,2015-05-24,Albury,-0.2,13.9,0.0,,,SE,13.0,,ESE,0.0,9.0,99.0,65.0,1033.3,1030.6,,1.0,3.5,13.3,No,0.0,No
10528,2013-08-22,CoffsHarbour,2.2,18.0,0.0,3.2,,SW,28.0,SW,NE,11.0,20.0,41.0,38.0,1017.3,1014.5,3.0,3.0,14.9,16.9,No,0.0,No
13726,2014-05-21,Moree,9.8,26.4,0.0,3.2,9.9,SW,31.0,ENE,S,11.0,11.0,58.0,30.0,1024.2,1020.9,0.0,2.0,17.5,25.4,No,0.0,No
13634,2014-02-05,Moree,20.0,33.6,0.0,13.4,10.2,ENE,48.0,ESE,SE,19.0,20.0,44.0,29.0,1016.4,1012.5,3.0,7.0,25.2,32.2,No,0.0,No
11345,2016-01-08,CoffsHarbour,17.5,25.8,0.0,,,SW,35.0,SW,SSE,20.0,24.0,53.0,60.0,1019.5,1018.5,,,23.6,24.6,No,0.0,No
8599,2016-07-21,Cobar,11.7,22.1,6.4,0.6,,E,22.0,ENE,WNW,7.0,9.0,93.0,68.0,1018.9,1015.7,1.0,,15.4,21.7,Yes,0.2,No
7570,2013-09-23,Cobar,17.7,32.2,0.0,25.2,,NW,48.0,NNW,N,22.0,26.0,10.0,4.0,1010.8,1006.7,0.0,7.0,25.7,30.7,No,0.0,No
8768,2017-01-15,Cobar,16.5,35.2,0.0,,,S,37.0,SSE,SSW,19.0,19.0,36.0,12.0,1013.3,1010.9,,,22.8,33.7,No,0.0,No
20174,2016-04-08,NorahHead,17.6,22.3,0.0,,,S,28.0,WSW,S,6.0,11.0,90.0,87.0,1023.2,1020.8,,,19.0,20.5,No,1.0,No
9797,2011-06-21,CoffsHarbour,5.3,21.0,0.0,1.6,9.5,NNW,35.0,NW,N,13.0,20.0,58.0,43.0,1013.1,1005.5,1.0,1.0,15.3,20.1,No,0.0,No
13141,2012-07-23,Moree,4.0,17.9,0.0,1.8,10.3,ESE,33.0,SSE,S,17.0,15.0,65.0,41.0,1026.2,1022.5,1.0,2.0,12.5,17.6,No,0.0,No
