id,CRIM,ZN,INDUS,CHAS,NOX,RM
91,0.03932,0.0,3.41,0,0.489,6.405
273,0.22188,20.0,6.96,1,0.464,7.691
365,4.55587,0.0,18.1,0,0.718,3.561
270,0.29916,20.0,6.96,0,0.464,5.856
469,13.0751,0.0,18.1,0,0.58,5.713
260,0.54011,20.0,3.97,0,0.647,7.203
248,0.16439,22.0,5.86,0,0.431,6.433
471,4.03841,0.0,18.1,0,0.532,6.229
352,0.07244,60.0,1.69,0,0.411,5.884
211,0.37578,0.0,10.59,1,0.489,5.404
41,0.12744,0.0,6.91,0,0.448,6.77
389,8.15174,0.0,18.1,0,0.7,5.39
466,3.77498,0.0,18.1,0,0.655,5.952
266,0.7857,20.0,3.97,0,0.647,7.014
179,0.0578,0.0,2.46,0,0.488,6.98
36,0.09744,0.0,5.96,0,0.499,5.841
8,0.21124,12.5,7.87,0,0.524,5.631
375,19.6091,0.0,18.1,0,0.671,7.313
257,0.61154,20.0,3.97,0,0.647,8.704
196,0.04011,80.0,1.52,0,0.404,7.287
433,5.58107,0.0,18.1,0,0.713,6.436
10,0.22489,12.5,7.87,0,0.524,6.377
264,0.55007,20.0,3.97,0,0.647,7.206
128,0.32543,0.0,21.89,0,0.624,6.431
102,0.22876,0.0,8.56,0,0.52,6.405
430,8.49213,0.0,18.1,0,0.584,6.348
437,15.1772,0.0,18.1,0,0.74,6.152
424,8.79212,0.0,18.1,0,0.584,5.565
393,8.64476,0.0,18.1,0,0.693,6.193
467,4.42228,0.0,18.1,0,0.584,6.003
345,0.03113,0.0,4.39,0,0.442,6.014
124,0.09849,0.0,25.65,0,0.581,5.879
420,11.0874,0.0,18.1,0,0.718,6.411
34,1.61282,0.0,8.14,0,0.538,6.096
208,0.13587,0.0,10.59,1,0.489,6.064
384,20.0849,0.0,18.1,0,0.7,4.368
374,18.4982,0.0,18.1,0,0.668,4.138
237,0.51183,0.0,6.2,0,0.507,7.358
290,0.03502,80.0,4.95,0,0.411,6.861
25,0.84054,0.0,8.14,0,0.538,5.599
28,0.77299,0.0,8.14,0,0.538,6.495
293,0.08265,0.0,13.92,0,0.437,6.127
395,8.71675,0.0,18.1,0,0.693,6.471
51,0.04337,21.0,5.64,0,0.439,6.115
230,0.537,0.0,6.2,0,0.504,5.981
254,0.04819,80.0,3.64,0,0.392,6.108
32,1.38799,0.0,8.14,0,0.538,5.95
93,0.02875,28.0,15.04,0,0.464,6.211
391,5.29305,0.0,18.1,0,0.7,6.051
130,0.34006,0.0,21.89,0,0.624,6.458
150,1.6566,0.0,19.58,0,0.871,6.122
444,12.8023,0.0,18.1,0,0.74,5.854
38,0.17505,0.0,5.96,0,0.499,5.966
425,15.8603,0.0,18.1,0,0.679,5.896
324,0.34109,0.0,7.38,0,0.493,6.415
241,0.10612,30.0,4.93,0,0.428,6.095
388,14.3337,0.0,18.1,0,0.7,4.88
396,5.87205,0.0,18.1,0,0.693,6.405
240,0.11329,30.0,4.93,0,0.428,6.897
190,0.09068,45.0,3.44,0,0.437,6.951
329,0.06724,0.0,3.24,0,0.46,6.333
342,0.02498,0.0,1.89,0,0.518,6.54
256,0.01538,90.0,3.75,0,0.394,7.454
27,0.95577,0.0,8.14,0,0.538,6.047
340,0.06151,0.0,5.19,0,0.515,5.968
473,4.64689,0.0,18.1,0,0.614,6.98
468,15.5757,0.0,18.1,0,0.58,5.926
57,0.01432,100.0,1.32,0,0.411,6.816
139,0.54452,0.0,21.89,0,0.624,6.151
185,0.06047,0.0,2.46,0,0.488,6.153
300,0.04417,70.0,2.24,0,0.4,6.871
335,0.03961,0.0,5.19,0,0.515,6.037
449,7.52601,0.0,18.1,0,0.713,6.417
52,0.0536,21.0,5.64,0,0.439,6.511
489,0.18337,0.0,27.74,0,0.609,5.414
399,9.91655,0.0,18.1,0,0.693,5.852
364,3.47428,0.0,18.1,1,0.718,8.78
0,0.00632,18.0,2.31,0,0.538,6.575
177,0.05425,0.0,4.05,0,0.51,6.315
72,0.09164,0.0,10.81,0,0.413,6.065
125,0.16902,0.0,25.65,0,0.581,5.986
279,0.21038,20.0,3.33,0,0.4429,6.812
402,9.59571,0.0,18.1,0,0.693,6.404
301,0.03537,34.0,6.09,0,0.433,6.59
213,0.14052,0.0,10.59,0,0.489,6.375
146,2.15505,0.0,19.58,0,0.871,5.628
421,7.02259,0.0,18.1,0,0.718,6.006
372,8.26725,0.0,18.1,1,0.668,5.875
504,0.10959,0.0,11.93,0,0.573,6.794
202,0.02177,82.5,2.03,0,0.415,7.61
438,13.6781,0.0,18.1,0,0.74,5.935
47,0.22927,0.0,6.91,0,0.448,6.03
380,88.9762,0.0,18.1,0,0.671,6.968
343,0.02543,55.0,3.78,0,0.484,6.696
359,4.26131,0.0,18.1,0,0.77,6.112
418,73.5341,0.0,18.1,0,0.679,5.957
40,0.03359,75.0,2.95,0,0.428,7.024
428,7.36711,0.0,18.1,0,0.679,6.193
39,0.02763,75.0,2.95,0,0.428,6.595
224,0.31533,0.0,6.2,0,0.504,8.266
394,13.3598,0.0,18.1,0,0.693,5.887
426,12.2472,0.0,18.1,0,0.584,5.837
502,0.04527,0.0,11.93,0,0.573,6.12
439,9.39063,0.0,18.1,0,0.74,5.627
415,18.0846,0.0,18.1,0,0.679,6.434
37,0.08014,0.0,5.96,0,0.499,5.85
99,0.0686,0.0,2.89,0,0.445,7.416
186,0.05602,0.0,2.46,0,0.488,7.831
234,0.44791,0.0,6.2,1,0.507,6.726
351,0.0795,60.0,1.69,0,0.411,6.579
276,0.10469,40.0,6.41,1,0.447,7.267
476,4.87141,0.0,18.1,0,0.614,6.484
105,0.13262,0.0,8.56,0,0.52,5.851
151,1.49632,0.0,19.58,0,0.871,5.404
262,0.52014,20.0,3.97,0,0.647,8.398
287,0.03871,52.5,5.32,0,0.405,6.209
325,0.19186,0.0,7.38,0,0.493,6.431
414,45.7461,0.0,18.1,0,0.693,4.519
472,3.56868,0.0,18.1,0,0.58,6.437
149,2.73397,0.0,19.58,0,0.871,5.597
412,18.811,0.0,18.1,0,0.597,4.628
169,2.44953,0.0,19.58,0,0.605,6.402
123,0.15038,0.0,25.65,0,0.581,5.856
483,2.81838,0.0,18.1,0,0.532,5.762
63,0.1265,25.0,5.13,0,0.453,6.762
417,25.9406,0.0,18.1,0,0.679,5.304
157,1.22358,0.0,19.58,0,0.605,6.943
499,0.17783,0.0,9.69,0,0.585,5.569
225,0.52693,0.0,6.2,0,0.504,8.725
323,0.28392,0.0,7.38,0,0.493,5.708
201,0.03445,82.5,2.03,0,0.415,6.162
446,6.28807,0.0,18.1,0,0.74,6.341
401,14.2362,0.0,18.1,0,0.693,6.343
480,5.82401,0.0,18.1,0,0.532,6.242
259,0.65665,20.0,3.97,0,0.647,6.842
175,0.06664,0.0,4.05,0,0.51,6.546
503,0.06076,0.0,11.93,0,0.573,6.976
245,0.19133,22.0,5.86,0,0.431,5.605
376,15.288,0.0,18.1,0,0.671,6.649
55,0.01311,90.0,1.22,0,0.403,7.249
443,9.96654,0.0,18.1,0,0.74,6.485
447,9.92485,0.0,18.1,0,0.74,6.251
119,0.14476,0.0,10.01,0,0.547,5.731
440,22.0511,0.0,18.1,0,0.74,5.818
460,4.81213,0.0,18.1,0,0.713,6.701
333,0.05083,0.0,5.19,0,0.515,6.316
48,0.25387,0.0,6.91,0,0.448,5.399
382,9.18702,0.0,18.1,0,0.7,5.536
9,0.17004,12.5,7.87,0,0.524,6.004
252,0.08221,22.0,5.86,0,0.431,6.957
155,3.53501,0.0,19.58,1,0.871,6.152
366,3.69695,0.0,18.1,0,0.718,4.963
338,0.03306,0.0,5.19,0,0.515,6.059
178,0.06642,0.0,4.05,0,0.51,6.86
493,0.17331,0.0,9.69,0,0.585,5.707
432,6.44405,0.0,18.1,0,0.584,6.425
75,0.09512,0.0,12.83,0,0.437,6.286
229,0.44178,0.0,6.2,0,0.504,6.552
346,0.06162,0.0,4.39,0,0.442,5.898
284,0.00906,90.0,2.97,0,0.4,7.088
194,0.01439,60.0,2.93,0,0.401,6.604
161,1.46336,0.0,19.58,0,0.605,7.489
168,2.3004,0.0,19.58,0,0.605,6.319
269,0.09065,20.0,6.96,1,0.464,5.92
83,0.03551,25.0,4.86,0,0.426,6.167
195,0.01381,80.0,0.46,0,0.422,7.875
129,0.88125,0.0,21.89,0,0.624,5.637
184,0.08308,0.0,2.46,0,0.488,5.604
416,10.8342,0.0,18.1,0,0.679,6.782
498,0.23912,0.0,9.69,0,0.585,6.019
354,0.04301,80.0,1.91,0,0.413,5.663
475,6.39312,0.0,18.1,0,0.584,6.162
403,24.8017,0.0,18.1,0,0.693,5.349
115,0.17134,0.0,10.01,0,0.547,5.928
319,0.47547,0.0,9.9,0,0.544,6.113
302,0.09266,34.0,6.09,0,0.433,6.495
156,2.44668,0.0,19.58,0,0.871,5.272
305,0.05479,33.0,2.18,0,0.472,6.616
486,5.69175,0.0,18.1,0,0.583,6.114
261,0.53412,20.0,3.97,0,0.647,7.52
13,0.62976,0.0,8.14,0,0.538,5.949
427,37.6619,0.0,18.1,0,0.679,6.202
307,0.04932,33.0,2.18,0,0.472,6.849
94,0.04294,28.0,15.04,0,0.464,6.249
69,0.12816,12.5,6.07,0,0.409,5.885
336,0.03427,0.0,5.19,0,0.515,5.869
45,0.17142,0.0,6.91,0,0.448,5.682
334,0.03738,0.0,5.19,0,0.515,6.31
299,0.05561,70.0,2.24,0,0.4,7.041
308,0.49298,0.0,9.9,0,0.544,6.635
131,1.19294,0.0,21.89,0,0.624,6.326
60,0.14932,25.0,5.13,0,0.453,5.741
306,0.07503,33.0,2.18,0,0.472,7.42
457,8.20058,0.0,18.1,0,0.713,5.936
84,0.05059,0.0,4.49,0,0.449,6.389
140,0.2909,0.0,21.89,0,0.624,6.174
58,0.15445,25.0,5.13,0,0.453,6.145
29,1.00245,0.0,8.14,0,0.538,6.674
268,0.5405,20.0,3.97,0,0.575,7.47
220,0.35809,0.0,6.2,1,0.507,6.951
285,0.01096,55.0,2.25,0,0.389,6.453
392,11.5779,0.0,18.1,0,0.7,5.036
500,0.22438,0.0,9.69,0,0.585,6.027
362,3.67822,0.0,18.1,0,0.77,5.362
289,0.04297,52.5,5.32,0,0.405,6.565
377,9.82349,0.0,18.1,0,0.671,6.794
198,0.03768,80.0,1.52,0,0.404,7.274
454,9.51363,0.0,18.1,0,0.713,6.728
89,0.05302,0.0,3.41,0,0.489,7.079
353,0.01709,90.0,2.02,0,0.41,6.728
14,0.63796,0.0,8.14,0,0.538,6.096
95,0.12204,0.0,2.89,0,0.445,6.625
166,2.01019,0.0,19.58,0,0.605,7.929
176,0.07022,0.0,4.05,0,0.51,6.02
337,0.03041,0.0,5.19,0,0.515,5.895
309,0.3494,0.0,9.9,0,0.544,5.972
182,0.09103,0.0,2.46,0,0.488,7.155
294,0.08199,0.0,13.92,0,0.437,6.009
316,0.31827,0.0,9.9,0,0.544,5.914
110,0.10793,0.0,8.56,0,0.52,6.195
247,0.19657,22.0,5.86,0,0.431,6.226
126,0.38735,0.0,25.65,0,0.581,5.613
251,0.21409,22.0,5.86,0,0.431,6.438
497,0.26838,0.0,9.69,0,0.585,5.794
327,0.24103,0.0,7.38,0,0.493,6.083
320,0.1676,0.0,7.38,0,0.493,6.426
163,1.51902,0.0,19.58,1,0.605,8.375
278,0.07978,40.0,6.41,0,0.447,6.482
303,0.1,34.0,6.09,0,0.433,6.982
137,0.35233,0.0,21.89,0,0.624,6.454
31,1.35472,0.0,8.14,0,0.538,6.072
505,0.04741,0.0,11.93,0,0.573,6.03
387,22.5971,0.0,18.1,0,0.7,5.0
127,0.25915,0.0,21.89,0,0.624,5.693
136,0.32264,0.0,21.89,0,0.624,5.942
434,13.9134,0.0,18.1,0,0.713,6.208
33,1.15172,0.0,8.14,0,0.538,5.701
203,0.0351,95.0,2.68,0,0.4161,7.853
53,0.04981,21.0,5.64,0,0.439,5.998
459,6.80117,0.0,18.1,0,0.713,6.081
30,1.13081,0.0,8.14,0,0.538,5.713
62,0.11027,25.0,5.13,0,0.453,6.456
274,0.05644,40.0,6.41,1,0.447,6.758
470,4.34879,0.0,18.1,0,0.58,6.167
298,0.06466,70.0,2.24,0,0.4,6.345
109,0.26363,0.0,8.56,0,0.52,6.229
348,0.01501,80.0,2.01,0,0.435,6.635
50,0.08873,21.0,5.64,0,0.439,5.963
410,51.1358,0.0,18.1,0,0.597,5.757
217,0.07013,0.0,13.89,0,0.55,6.642
64,0.01951,17.5,1.38,0,0.4161,7.104
501,0.06263,0.0,11.93,0,0.573,6.593
5,0.02985,0.0,2.18,0,0.458,6.43
356,8.98296,0.0,18.1,1,0.77,6.212
121,0.07165,0.0,25.65,0,0.581,6.004
288,0.0459,52.5,5.32,0,0.405,6.315
250,0.1403,22.0,5.86,0,0.431,6.487
189,0.0837,45.0,3.44,0,0.437,7.185
482,5.73116,0.0,18.1,0,0.532,7.061
18,0.80271,0.0,8.14,0,0.538,5.456
180,0.06588,0.0,2.46,0,0.488,7.765
205,0.13642,0.0,10.59,0,0.489,5.891
82,0.03659,25.0,4.86,0,0.426,6.302
404,41.5292,0.0,18.1,0,0.693,5.531
214,0.28955,0.0,10.59,0,0.489,5.412
339,0.05497,0.0,5.19,0,0.515,5.985
81,0.04462,25.0,4.86,0,0.426,6.619
461,3.69311,0.0,18.1,0,0.713,6.376
350,0.06211,40.0,1.25,0,0.429,6.49
458,7.75223,0.0,18.1,0,0.713,6.301
405,67.9208,0.0,18.1,0,0.693,5.683
295,0.12932,0.0,13.92,0,0.437,6.678
341,0.01301,35.0,1.52,0,0.442,7.241
114,0.14231,0.0,10.01,0,0.547,6.254
24,0.75026,0.0,8.14,0,0.538,5.924
481,5.70818,0.0,18.1,0,0.532,6.75
23,0.98843,0.0,8.14,0,0.538,5.813
283,0.01501,90.0,1.21,1,0.401,7.923
77,0.08707,0.0,12.83,0,0.437,6.14
4,0.06905,0.0,2.18,0,0.458,7.147
170,1.20742,0.0,19.58,0,0.605,5.875
318,0.40202,0.0,9.9,0,0.544,6.382
101,0.11432,0.0,8.56,0,0.52,6.781
422,12.0482,0.0,18.1,0,0.614,5.648
258,0.66351,20.0,3.97,0,0.647,7.333
118,0.13058,0.0,10.01,0,0.547,5.872
106,0.1712,0.0,8.56,0,0.52,5.836
107,0.13117,0.0,8.56,0,0.52,6.127
49,0.21977,0.0,6.91,0,0.448,5.602
330,0.04544,0.0,3.24,0,0.46,6.144
281,0.03705,20.0,3.33,0,0.4429,6.968
98,0.08187,0.0,2.89,0,0.445,7.82
436,14.4208,0.0,18.1,0,0.74,6.461
87,0.07151,0.0,4.49,0,0.449,6.121
368,4.89822,0.0,18.1,0,0.631,4.97
76,0.10153,0.0,12.83,0,0.437,6.279
331,0.05023,35.0,6.06,0,0.4379,5.706
488,0.15086,0.0,27.74,0,0.609,5.454
153,2.14918,0.0,19.58,0,0.871,5.709
20,1.25179,0.0,8.14,0,0.538,5.57
43,0.15936,0.0,6.91,0,0.448,6.211
154,1.41385,0.0,19.58,1,0.871,6.129
409,14.4383,0.0,18.1,0,0.597,6.852
162,1.83377,0.0,19.58,1,0.605,7.802
265,0.76162,20.0,3.97,0,0.647,5.56
361,3.83684,0.0,18.1,0,0.77,6.251
282,0.06129,20.0,3.33,1,0.4429,7.645
275,0.09604,40.0,6.41,0,0.447,6.854
59,0.10328,25.0,5.13,0,0.453,5.927
292,0.03615,80.0,4.95,0,0.411,6.63
61,0.17171,25.0,5.13,0,0.453,5.966
56,0.02055,85.0,0.74,0,0.41,6.383
3,0.03237,0.0,2.18,0,0.458,6.998
226,0.38214,0.0,6.2,0,0.504,8.04
197,0.04666,80.0,1.52,0,0.404,7.107
142,3.32105,0.0,19.58,1,0.871,5.403
455,4.75237,0.0,18.1,0,0.713,6.525
172,0.13914,0.0,4.05,0,0.51,5.572
181,0.06888,0.0,2.46,0,0.488,6.144
134,0.97617,0.0,21.89,0,0.624,5.757
477,15.0234,0.0,18.1,0,0.614,5.304
236,0.52058,0.0,6.2,1,0.507,6.631
494,0.27957,0.0,9.69,0,0.585,5.926
280,0.03578,20.0,3.33,0,0.4429,7.82
152,1.12658,0.0,19.58,1,0.871,5.012
187,0.07875,45.0,3.44,0,0.437,6.782
191,0.06911,45.0,3.44,0,0.437,6.739
209,0.43571,0.0,10.59,1,0.489,5.344
167,1.80028,0.0,19.58,0,0.605,5.877
100,0.14866,0.0,8.56,0,0.52,6.727
445,10.6718,0.0,18.1,0,0.74,6.459
148,2.33099,0.0,19.58,0,0.871,5.186
317,0.24522,0.0,9.9,0,0.544,5.782
390,6.96215,0.0,18.1,0,0.7,5.713
117,0.15098,0.0,10.01,0,0.547,6.021
78,0.05646,0.0,12.83,0,0.437,6.232
369,5.66998,0.0,18.1,1,0.631,6.683
17,0.7842,0.0,8.14,0,0.538,5.99
326,0.30347,0.0,7.38,0,0.493,6.312
441,9.72418,0.0,18.1,0,0.74,6.406
413,28.6558,0.0,18.1,0,0.597,5.155
143,4.0974,0.0,19.58,0,0.871,5.468
272,0.1146,20.0,6.96,0,0.464,6.538
492,0.11132,0.0,27.74,0,0.609,5.983
321,0.18159,0.0,7.38,0,0.493,6.376
171,2.3139,0.0,19.58,0,0.605,5.88
11,0.11747,12.5,7.87,0,0.524,6.009
357,3.8497,0.0,18.1,1,0.77,6.395
322,0.35114,0.0,7.38,0,0.493,6.041
86,0.05188,0.0,4.49,0,0.449,6.015
411,14.0507,0.0,18.1,0,0.597,6.657
160,1.27346,0.0,19.58,1,0.605,6.25
400,25.0461,0.0,18.1,0,0.693,5.987
355,0.10659,80.0,1.91,0,0.413,5.936
297,0.14103,0.0,13.92,0,0.437,5.79
235,0.33045,0.0,6.2,0,0.507,6.086
249,0.19073,22.0,5.86,0,0.431,6.718
429,9.33889,0.0,18.1,0,0.679,6.38
113,0.22212,0.0,10.01,0,0.547,6.092
1,0.02731,0.0,7.07,0,0.469,6.421
358,5.20177,0.0,18.1,1,0.77,6.127
491,0.10574,0.0,27.74,0,0.609,5.983
344,0.03049,55.0,3.78,0,0.484,6.874
193,0.02187,60.0,2.93,0,0.401,6.8
207,0.25199,0.0,10.59,0,0.489,5.783
67,0.05789,12.5,6.07,0,0.409,5.878
246,0.33983,22.0,5.86,0,0.431,6.108
419,11.8123,0.0,18.1,0,0.718,6.824
408,7.40389,0.0,18.1,0,0.597,5.617
132,0.59005,0.0,21.89,0,0.624,6.372
386,24.3938,0.0,18.1,0,0.7,4.652
373,11.1081,0.0,18.1,0,0.668,4.906
484,2.37857,0.0,18.1,0,0.583,5.871
90,0.04684,0.0,3.41,0,0.489,6.417
381,15.8744,0.0,18.1,0,0.671,6.545
122,0.09299,0.0,25.65,0,0.581,5.961
448,9.32909,0.0,18.1,0,0.713,6.185
73,0.19539,0.0,10.81,0,0.413,6.245
6,0.08829,12.5,7.87,0,0.524,6.012
158,1.34284,0.0,19.58,0,0.605,6.066
442,5.66637,0.0,18.1,0,0.74,6.219
383,7.99248,0.0,18.1,0,0.7,5.52
463,5.82115,0.0,18.1,0,0.713,6.513
435,11.1604,0.0,18.1,0,0.74,6.629
465,3.1636,0.0,18.1,0,0.655,5.759
12,0.09378,12.5,7.87,0,0.524,5.889
35,0.06417,0.0,5.96,0,0.499,5.933
478,10.233,0.0,18.1,0,0.614,6.185
360,4.54192,0.0,18.1,0,0.77,6.398
277,0.06127,40.0,6.41,1,0.447,6.826
312,0.26169,0.0,9.9,0,0.544,6.023
451,5.44114,0.0,18.1,0,0.713,6.655
133,0.32982,0.0,21.89,0,0.624,5.822
263,0.82526,20.0,3.97,0,0.647,7.327
490,0.20746,0.0,27.74,0,0.609,5.093
66,0.04379,80.0,3.37,0,0.398,5.787
138,0.2498,0.0,21.89,0,0.624,5.857
54,0.0136,75.0,4.0,0,0.41,5.888
271,0.16211,20.0,6.96,0,0.464,6.24
423,7.05042,0.0,18.1,0,0.614,6.103
311,0.79041,0.0,9.9,0,0.544,6.122
21,0.85204,0.0,8.14,0,0.538,5.965
453,8.24809,0.0,18.1,0,0.713,7.393
222,0.62356,0.0,6.2,1,0.507,6.879
