id,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y
91,73.9,3.0921,2,270.0,17.8,393.55,8.2,22.0
273,51.8,4.3665,3,223.0,18.6,390.77,6.58,35.2
365,87.9,1.6132,24,666.0,20.2,354.7,7.12,27.5
270,42.1,4.429,3,223.0,18.6,388.65,13.0,21.1
469,56.7,2.8237,24,666.0,20.2,396.9,14.76,20.1
260,81.8,2.1121,5,264.0,13.0,392.8,9.59,33.8
248,49.1,7.8265,7,330.0,19.1,374.71,9.52,24.5
471,90.7,3.0993,24,666.0,20.2,395.33,12.87,19.6
352,18.5,10.7103,4,411.0,18.3,392.33,7.79,18.6
211,88.6,3.665,4,277.0,18.6,395.24,23.98,19.3
41,2.9,5.7209,3,233.0,17.9,385.41,4.84,26.6
389,98.9,1.7281,24,666.0,20.2,396.9,20.85,11.5
466,84.7,2.8715,24,666.0,20.2,22.01,17.15,19.0
266,84.6,2.1329,5,264.0,13.0,384.07,14.79,30.7
179,58.4,2.829,3,193.0,17.8,396.9,5.04,37.2
36,61.4,3.3779,5,279.0,19.2,377.56,11.41,20.0
8,100.0,6.0821,5,311.0,15.2,386.63,29.93,16.5
375,97.9,1.3163,24,666.0,20.2,396.9,13.44,15.0
257,86.9,1.801,5,264.0,13.0,389.7,5.12,50.0
196,34.1,7.309,2,329.0,12.6,396.9,4.08,33.3
433,87.9,2.3158,24,666.0,20.2,100.19,16.22,14.3
10,94.3,6.3467,5,311.0,15.2,392.52,20.45,15.0
264,91.6,1.9301,5,264.0,13.0,387.89,8.1,36.5
128,98.8,1.8125,4,437.0,21.2,396.9,15.39,18.0
102,85.4,2.7147,5,384.0,20.9,70.8,10.63,18.6
430,86.1,2.0527,24,666.0,20.2,83.45,17.64,14.5
437,100.0,1.9142,24,666.0,20.2,9.32,26.45,8.7
424,70.6,2.0635,24,666.0,20.2,3.65,17.16,11.7
393,92.6,1.7912,24,666.0,20.2,396.9,15.17,13.8
467,94.5,2.5403,24,666.0,20.2,331.29,21.32,19.1
345,48.5,8.0136,3,352.0,18.8,385.64,10.53,17.5
124,95.8,2.0063,2,188.0,19.1,379.38,17.58,18.8
420,100.0,1.8589,24,666.0,20.2,318.75,15.02,16.7
34,96.9,3.7598,4,307.0,21.0,248.31,20.34,13.5
208,59.1,4.2392,4,277.0,18.6,381.32,14.66,24.4
384,91.2,1.4395,24,666.0,20.2,285.83,30.63,8.8
374,100.0,1.137,24,666.0,20.2,396.9,37.97,13.8
237,71.6,4.148,8,307.0,17.4,390.07,4.73,31.5
290,27.9,5.1167,4,245.0,19.2,396.9,3.33,28.5
25,85.7,4.4546,4,307.0,21.0,303.42,16.51,13.9
28,94.4,4.4547,4,307.0,21.0,387.94,12.8,18.4
293,18.4,5.5027,4,289.0,16.0,396.9,8.58,23.9
395,98.8,1.7257,24,666.0,20.2,391.98,17.12,13.1
51,63.0,6.8147,4,243.0,16.8,393.97,9.43,20.5
230,68.1,3.6715,8,307.0,17.4,378.35,11.65,24.3
254,32.0,9.2203,1,315.0,16.4,392.89,6.57,21.9
32,82.0,3.99,4,307.0,21.0,232.6,27.71,13.2
93,28.9,3.6659,4,270.0,18.2,396.33,6.21,25.0
391,82.5,2.1678,24,666.0,20.2,378.38,18.76,23.2
130,98.9,2.1185,4,437.0,21.2,395.04,12.6,19.2
150,97.3,1.618,5,403.0,14.7,372.8,14.1,21.5
444,96.6,1.8956,24,666.0,20.2,240.52,23.79,10.8
38,30.2,3.8473,5,279.0,19.2,393.43,10.13,24.7
425,95.4,1.9096,24,666.0,20.2,7.68,24.39,8.3
324,40.1,4.7211,5,287.0,19.6,396.9,6.12,25.0
241,65.1,6.3361,6,300.0,16.6,394.62,12.4,20.1
388,100.0,1.5895,24,666.0,20.2,372.92,30.62,10.2
396,96.0,1.6768,24,666.0,20.2,396.9,19.37,12.5
240,54.3,6.3361,6,300.0,16.6,391.25,11.38,22.0
190,21.5,6.4798,5,398.0,15.2,377.68,5.1,37.0
329,17.2,5.2146,4,430.0,16.9,375.21,7.34,22.6
342,59.7,6.2669,1,422.0,15.9,389.96,8.65,16.5
256,34.2,6.3361,3,244.0,15.9,386.34,3.11,44.0
27,88.8,4.4534,4,307.0,21.0,306.38,17.28,14.8
340,58.5,4.8122,5,224.0,20.2,396.9,9.29,18.7
473,67.6,2.5329,24,666.0,20.2,374.68,11.66,29.8
468,71.0,2.9084,24,666.0,20.2,368.74,18.13,19.1
57,40.5,8.3248,5,256.0,15.1,392.9,3.95,31.6
139,97.9,1.6687,4,437.0,21.2,396.9,18.46,17.8
185,68.8,3.2797,3,193.0,17.8,387.11,13.15,29.6
300,47.4,7.8278,5,358.0,14.8,390.86,6.07,24.8
335,34.5,5.9853,5,224.0,20.2,396.9,8.01,21.1
449,98.3,2.185,24,666.0,20.2,304.21,19.31,13.0
52,21.1,6.8147,4,243.0,16.8,396.9,5.28,25.0
489,98.3,1.7554,4,711.0,20.1,344.05,23.97,7.0
399,77.8,1.5004,24,666.0,20.2,338.16,29.97,6.3
364,82.9,1.9047,24,666.0,20.2,354.55,5.29,21.9
0,65.2,4.09,1,296.0,15.3,396.9,4.98,24.0
177,73.4,3.3175,5,296.0,16.6,395.6,6.29,24.6
72,7.8,5.2873,4,305.0,19.2,390.91,5.52,22.8
125,88.4,1.9929,2,188.0,19.1,385.02,14.81,21.4
279,32.2,4.1007,5,216.0,14.9,396.9,4.85,35.1
402,100.0,1.639,24,666.0,20.2,376.11,20.31,12.1
301,40.4,5.4917,7,329.0,16.1,395.75,9.5,22.0
213,32.3,3.9454,4,277.0,18.6,385.81,9.38,28.1
146,100.0,1.5166,5,403.0,14.7,169.27,16.65,15.6
421,95.3,1.8746,24,666.0,20.2,319.98,15.7,14.2
372,89.6,1.1296,24,666.0,20.2,347.88,8.88,50.0
504,89.3,2.3889,1,273.0,21.0,393.45,6.48,22.0
202,15.7,6.27,2,348.0,14.7,395.38,3.11,42.3
438,87.9,1.8206,24,666.0,20.2,68.95,34.02,8.4
47,85.5,5.6894,3,233.0,17.9,392.74,18.8,16.6
380,91.9,1.4165,24,666.0,20.2,396.9,17.21,10.4
343,56.4,5.7321,5,370.0,17.6,396.9,7.18,23.9
359,81.3,2.5091,24,666.0,20.2,390.74,12.67,22.6
418,100.0,1.8026,24,666.0,20.2,16.45,20.62,8.8
40,15.8,5.4011,3,252.0,18.3,395.62,1.98,34.9
428,78.1,1.9356,24,666.0,20.2,96.73,21.52,11.0
39,21.8,5.4011,3,252.0,18.3,395.63,4.32,30.8
224,78.3,2.8944,8,307.0,17.4,385.05,4.14,44.8
394,94.7,1.7821,24,666.0,20.2,396.9,16.35,12.7
426,59.7,1.9976,24,666.0,20.2,24.65,15.69,10.2
502,76.7,2.2875,1,273.0,21.0,396.9,9.08,20.6
439,93.9,1.8172,24,666.0,20.2,396.9,22.88,12.8
415,100.0,1.8347,24,666.0,20.2,27.25,29.05,7.2
37,41.5,3.9342,5,279.0,19.2,396.9,8.77,21.0
99,62.5,3.4952,2,276.0,18.0,396.9,6.19,33.2
186,53.6,3.1992,3,193.0,17.8,392.63,4.45,50.0
234,66.5,3.6519,8,307.0,17.4,360.2,8.05,29.0
351,35.9,10.7103,4,411.0,18.3,370.78,5.49,24.1
276,49.0,4.7872,4,254.0,17.6,389.25,6.05,33.2
476,93.6,2.3053,24,666.0,20.2,396.21,18.68,16.7
105,96.7,2.1069,5,384.0,20.9,394.05,16.47,19.5
151,100.0,1.5916,5,403.0,14.7,341.6,13.28,19.6
262,91.5,2.2885,5,264.0,13.0,386.86,5.91,48.8
287,31.3,7.3172,6,293.0,16.6,396.9,7.14,23.2
325,14.7,5.4159,5,287.0,19.6,393.68,5.08,24.6
414,100.0,1.6582,24,666.0,20.2,88.27,36.98,7.0
472,75.0,2.8965,24,666.0,20.2,393.37,14.36,23.2
149,94.9,1.5257,5,403.0,14.7,351.85,21.45,15.4
412,100.0,1.5539,24,666.0,20.2,28.79,34.37,17.9
169,95.2,2.2625,5,403.0,14.7,330.04,11.32,22.3
123,97.0,1.9444,2,188.0,19.1,370.31,25.41,17.3
483,40.3,4.0983,24,666.0,20.2,392.92,10.42,21.8
63,43.4,7.9809,8,284.0,19.7,395.58,9.5,25.0
417,89.1,1.6475,24,666.0,20.2,127.36,26.64,10.4
157,97.4,1.8773,5,403.0,14.7,363.43,4.59,41.3
499,73.5,2.3999,6,391.0,19.2,395.77,15.1,17.5
225,83.0,2.8944,8,307.0,17.4,382.0,4.63,50.0
323,74.3,4.7211,5,287.0,19.6,391.13,11.74,18.5
201,38.4,6.27,2,348.0,14.7,393.77,7.43,24.1
446,96.4,2.072,24,666.0,20.2,318.01,17.79,14.9
401,100.0,1.5741,24,666.0,20.2,396.9,20.32,7.2
480,64.7,3.4242,24,666.0,20.2,396.9,10.74,23.0
259,100.0,2.0107,5,264.0,13.0,391.93,6.9,30.1
175,33.1,3.1323,5,296.0,16.6,390.96,5.33,29.4
503,91.0,2.1675,1,273.0,21.0,396.9,5.64,23.9
245,70.2,7.9549,7,330.0,19.1,389.13,18.46,18.5
376,93.3,1.3449,24,666.0,20.2,363.02,23.24,13.9
55,21.9,8.6966,5,226.0,17.9,395.93,4.81,35.4
443,100.0,1.9784,24,666.0,20.2,386.73,18.85,15.4
447,96.6,2.198,24,666.0,20.2,388.52,16.44,12.6
119,65.2,2.7592,6,432.0,17.8,391.5,13.61,19.3
440,92.4,1.8662,24,666.0,20.2,391.45,22.11,10.5
460,90.0,2.5975,24,666.0,20.2,255.23,16.42,16.4
333,38.1,6.4584,5,224.0,20.2,389.71,5.68,22.2
48,95.3,5.87,3,233.0,17.9,396.9,30.81,14.4
382,100.0,1.5804,24,666.0,20.2,396.9,23.6,11.3
9,85.9,6.5921,5,311.0,15.2,386.71,17.1,18.9
252,6.8,8.9067,7,330.0,19.1,386.09,3.53,29.6
155,82.6,1.7455,5,403.0,14.7,88.01,15.02,15.6
366,91.4,1.7523,24,666.0,20.2,316.03,14.0,21.9
338,37.3,4.8122,5,224.0,20.2,396.14,8.51,20.6
178,74.4,2.9153,5,296.0,16.6,391.27,6.92,29.9
493,54.0,2.3817,6,391.0,19.2,396.9,12.01,21.8
432,74.8,2.2004,24,666.0,20.2,97.95,12.03,16.1
75,45.0,4.5026,5,398.0,18.7,383.23,8.94,21.4
229,21.4,3.3751,8,307.0,17.4,380.34,3.76,31.5
346,52.3,8.0136,3,352.0,18.8,364.61,12.67,17.2
284,20.8,7.3073,1,285.0,15.3,394.72,7.85,32.2
194,18.8,6.2196,1,265.0,15.6,376.7,4.38,29.1
161,90.8,1.9709,5,403.0,14.7,374.43,1.73,50.0
168,96.1,2.1,5,403.0,14.7,297.09,11.1,23.8
269,61.5,3.9175,3,223.0,18.6,391.34,13.65,20.7
83,46.7,5.4007,4,281.0,19.0,390.64,7.51,22.9
195,32.0,5.6484,4,255.0,14.4,394.23,2.97,50.0
129,94.7,1.9799,4,437.0,21.2,396.9,18.34,14.3
184,89.8,2.9879,3,193.0,17.8,391.0,13.98,26.4
416,90.8,1.8195,24,666.0,20.2,21.57,25.79,7.5
498,65.3,2.4091,6,391.0,19.2,396.9,12.92,21.2
354,21.9,10.5857,4,334.0,22.0,382.8,8.05,18.2
475,97.4,2.206,24,666.0,20.2,302.76,24.1,13.3
403,96.0,1.7028,24,666.0,20.2,396.9,19.77,8.3
115,88.2,2.4631,6,432.0,17.8,344.91,15.76,18.3
319,58.8,4.0019,4,304.0,18.4,396.23,12.73,21.0
302,18.4,5.4917,7,329.0,16.1,383.61,8.67,26.4
156,94.0,1.7364,5,403.0,14.7,88.63,16.14,13.1
305,58.1,3.37,7,222.0,18.4,393.36,8.93,28.4
486,79.8,3.5459,24,666.0,20.2,392.68,14.98,19.1
261,89.4,2.1398,5,264.0,13.0,388.37,7.26,43.1
13,61.8,4.7075,4,307.0,21.0,396.9,8.26,20.4
427,78.7,1.8629,24,666.0,20.2,18.82,14.52,10.9
307,70.3,3.1827,7,222.0,18.4,396.9,7.53,28.2
94,77.3,3.615,4,270.0,18.2,396.9,10.59,20.6
69,33.0,6.498,4,345.0,18.9,396.9,8.79,20.9
336,46.3,5.2311,5,224.0,20.2,396.9,9.8,19.5
45,33.8,5.1004,3,233.0,17.9,396.9,10.21,19.3
334,38.5,6.4584,5,224.0,20.2,389.4,6.75,20.7
299,10.0,7.8278,5,358.0,14.8,371.58,4.74,29.0
308,82.5,3.3175,4,304.0,18.4,396.9,4.54,22.8
131,97.7,2.271,4,437.0,21.2,396.9,12.26,19.6
60,66.2,7.2254,8,284.0,19.7,395.11,13.15,18.7
306,71.9,3.0992,7,222.0,18.4,396.9,6.47,33.4
457,80.3,2.7792,24,666.0,20.2,3.5,16.94,13.5
84,48.0,4.7794,3,247.0,18.5,396.9,9.62,23.9
140,93.6,1.6119,4,437.0,21.2,388.08,24.16,14.0
58,29.2,7.8148,8,284.0,19.7,390.68,6.86,23.3
29,87.3,4.239,4,307.0,21.0,380.23,11.98,21.0
268,52.6,2.872,5,264.0,13.0,390.3,3.16,43.5
220,88.5,2.8617,8,307.0,17.4,391.7,9.71,26.7
285,31.9,7.3073,1,300.0,15.3,394.72,8.23,22.0
392,97.0,1.77,24,666.0,20.2,396.9,25.68,9.7
500,79.7,2.4982,6,391.0,19.2,396.9,14.33,16.8
362,96.2,2.1036,24,666.0,20.2,380.79,10.19,20.8
289,22.9,7.3172,6,293.0,16.6,371.72,9.51,24.8
377,98.8,1.358,24,666.0,20.2,396.9,21.24,13.3
198,38.3,7.309,2,329.0,12.6,392.2,6.62,34.6
454,94.1,2.4961,24,666.0,20.2,6.68,18.71,14.9
89,63.1,3.4145,2,270.0,17.8,396.06,5.7,28.7
353,36.1,12.1265,5,187.0,17.0,384.46,4.5,30.1
14,84.5,4.4619,4,307.0,21.0,380.02,10.26,18.2
95,57.8,3.4952,2,276.0,18.0,357.98,6.65,28.4
166,96.2,2.0459,5,403.0,14.7,369.3,3.7,50.0
176,47.2,3.5549,5,296.0,16.6,393.23,10.11,23.2
337,59.6,5.615,5,224.0,20.2,394.81,10.56,18.5
309,76.7,3.1025,4,304.0,18.4,396.24,9.97,20.3
182,92.2,2.7006,3,193.0,17.8,394.12,4.82,37.9
294,42.3,5.5027,4,289.0,16.0,396.9,10.4,21.7
316,83.2,3.9986,4,304.0,18.4,390.7,18.33,17.8
110,54.4,2.7778,5,384.0,20.9,393.49,13.0,21.7
247,79.2,8.0555,7,330.0,19.1,376.14,10.15,20.5
126,95.6,1.7572,2,188.0,19.1,359.29,27.26,15.7
251,8.9,7.3967,7,330.0,19.1,377.07,3.59,24.8
497,70.6,2.8927,6,391.0,19.2,396.9,14.1,18.3
327,43.7,5.4159,5,287.0,19.6,396.9,12.79,22.2
320,52.3,4.5404,5,287.0,19.6,396.9,7.2,23.8
163,93.9,2.162,5,403.0,14.7,388.45,3.32,50.0
278,32.1,4.1403,4,254.0,17.6,396.9,7.19,29.1
303,17.7,5.4917,7,329.0,16.1,390.43,4.86,33.1
137,98.4,1.8498,4,437.0,21.2,394.08,14.59,17.1
31,100.0,4.175,4,307.0,21.0,376.73,13.04,14.5
505,80.8,2.505,1,273.0,21.0,396.9,7.88,11.9
387,89.5,1.5184,24,666.0,20.2,396.9,31.99,7.4
127,96.0,1.7883,4,437.0,21.2,392.11,17.19,16.2
136,93.5,1.9669,4,437.0,21.2,378.25,16.9,17.4
434,95.0,2.2222,24,666.0,20.2,100.63,15.17,11.7
33,95.0,3.7872,4,307.0,21.0,358.77,18.35,13.1
203,33.2,5.118,4,224.0,14.7,392.78,3.81,48.5
53,21.4,6.8147,4,243.0,16.8,396.9,8.43,23.4
459,84.4,2.7175,24,666.0,20.2,396.9,14.7,20.0
30,94.1,4.233,4,307.0,21.0,360.17,22.6,12.7
62,67.8,7.2255,8,284.0,19.7,396.9,6.73,22.2
274,32.9,4.0776,4,254.0,17.6,396.9,3.53,32.4
470,84.0,3.0334,24,666.0,20.2,396.9,16.29,19.9
298,20.1,7.8278,5,358.0,14.8,368.24,4.97,22.5
109,91.2,2.5451,5,384.0,20.9,391.23,15.55,19.4
348,29.7,8.344,4,280.0,17.0,390.94,5.99,24.5
50,45.7,6.8147,4,243.0,16.8,395.56,13.45,19.7
410,100.0,1.413,24,666.0,20.2,2.6,10.11,15.0
217,85.1,3.4211,5,276.0,16.4,392.78,9.69,28.7
64,59.5,9.2229,3,216.0,18.6,393.24,8.05,33.0
501,69.1,2.4786,1,273.0,21.0,391.99,9.67,22.4
5,58.7,6.0622,3,222.0,18.7,394.12,5.21,28.7
356,97.4,2.1222,24,666.0,20.2,377.73,17.6,17.8
121,84.1,2.1974,2,188.0,19.1,377.67,14.27,20.3
288,45.6,7.3172,6,293.0,16.6,396.9,7.6,22.3
250,13.0,7.3967,7,330.0,19.1,396.28,5.9,24.4
189,38.9,4.5667,5,398.0,15.2,396.9,5.39,34.9
482,77.0,3.4106,24,666.0,20.2,395.28,7.01,25.0
18,36.6,3.7965,4,307.0,21.0,288.99,11.69,20.2
180,83.3,2.741,3,193.0,17.8,395.56,7.56,39.8
205,22.3,3.9454,4,277.0,18.6,396.9,10.87,22.6
82,32.2,5.4007,4,281.0,19.0,396.9,6.72,24.8
404,85.4,1.6074,24,666.0,20.2,329.46,27.38,8.5
214,9.8,3.5875,4,277.0,18.6,348.93,29.55,23.7
339,45.4,4.8122,5,224.0,20.2,396.9,9.74,19.0
81,70.4,5.4007,4,281.0,19.0,395.63,7.22,23.9
461,88.4,2.5671,24,666.0,20.2,391.43,14.65,17.7
350,44.4,8.7921,1,335.0,19.7,396.9,5.98,22.9
458,83.7,2.7831,24,666.0,20.2,272.21,16.23,14.9
405,100.0,1.4254,24,666.0,20.2,384.97,22.98,5.0
295,31.1,5.9604,4,289.0,16.0,396.9,6.27,28.6
341,49.3,7.0379,1,284.0,15.5,394.74,5.49,32.7
114,84.2,2.2565,6,432.0,17.8,388.74,10.45,18.5
24,94.1,4.3996,4,307.0,21.0,394.33,16.3,15.6
481,74.9,3.3317,24,666.0,20.2,393.07,7.74,23.7
23,100.0,4.0952,4,307.0,21.0,394.54,19.88,14.5
283,24.8,5.885,1,198.0,13.6,395.52,3.16,50.0
77,45.8,4.0905,5,398.0,18.7,386.96,10.27,20.8
4,54.2,6.0622,3,222.0,18.7,396.9,5.33,36.2
170,94.6,2.4259,5,403.0,14.7,292.29,14.43,17.4
318,67.2,3.5325,4,304.0,18.4,395.21,10.36,23.1
101,71.3,2.8561,5,384.0,20.9,395.58,7.67,26.5
422,87.6,1.9512,24,666.0,20.2,291.55,14.1,20.8
258,100.0,1.8946,5,264.0,13.0,383.29,7.79,36.0
118,73.1,2.4775,6,432.0,17.8,338.63,15.37,20.4
106,91.9,2.211,5,384.0,20.9,395.67,18.66,19.5
107,85.2,2.1224,5,384.0,20.9,387.69,14.09,20.4
49,62.0,6.0877,3,233.0,17.9,396.9,16.2,19.4
330,32.2,5.8736,4,430.0,16.9,368.57,9.09,19.8
281,37.2,5.2447,5,216.0,14.9,392.23,4.59,35.4
98,36.9,3.4952,2,276.0,18.0,393.53,3.57,43.8
436,93.3,2.0026,24,666.0,20.2,27.49,18.05,9.6
87,56.8,3.7476,3,247.0,18.5,395.15,8.44,22.2
368,100.0,1.3325,24,666.0,20.2,375.52,3.26,50.0
76,74.5,4.0522,5,398.0,18.7,373.66,11.97,20.0
331,28.4,6.6407,1,304.0,16.9,394.02,12.43,17.1
488,92.7,1.8209,4,711.0,20.1,395.09,18.06,15.2
153,98.5,1.6232,5,403.0,14.7,261.95,15.79,19.4
20,98.1,3.7979,4,307.0,21.0,376.57,21.02,13.6
43,6.5,5.7209,3,233.0,17.9,394.46,7.44,24.7
154,96.0,1.7494,5,403.0,14.7,321.02,15.12,17.0
409,100.0,1.4655,24,666.0,20.2,179.36,19.78,27.5
162,98.2,2.0407,5,403.0,14.7,389.61,1.92,50.0
265,62.8,1.9865,5,264.0,13.0,392.4,10.45,22.8
361,91.1,2.2955,24,666.0,20.2,350.65,14.19,19.9
282,49.7,5.2119,5,216.0,14.9,377.07,3.01,46.0
275,42.8,4.2673,4,254.0,17.6,396.9,2.98,32.0
59,47.2,6.932,8,284.0,19.7,396.9,9.22,19.6
292,23.4,5.1167,4,245.0,19.2,396.9,4.7,27.9
61,93.4,6.8185,8,284.0,19.7,378.08,14.44,16.0
56,35.7,9.1876,2,313.0,17.3,396.9,5.77,24.7
3,45.8,6.0622,3,222.0,18.7,394.63,2.94,33.4
226,86.5,3.2157,8,307.0,17.4,387.38,3.13,37.6
197,36.6,7.309,2,329.0,12.6,354.31,8.61,30.3
142,100.0,1.3216,5,403.0,14.7,396.9,26.82,13.4
455,86.5,2.4358,24,666.0,20.2,50.92,18.13,14.1
172,88.5,2.5961,5,296.0,16.6,396.9,14.69,23.1
181,62.2,2.5979,3,193.0,17.8,396.9,9.45,36.2
134,98.4,2.346,4,437.0,21.2,262.76,17.31,15.6
477,97.3,2.1007,24,666.0,20.2,349.48,24.91,12.0
236,76.5,4.148,8,307.0,17.4,388.45,9.54,25.1
494,42.6,2.3817,6,391.0,19.2,396.9,13.59,24.5
280,64.5,4.6947,5,216.0,14.9,387.31,3.76,45.4
152,88.0,1.6102,5,403.0,14.7,343.28,12.12,15.3
187,41.1,3.7886,5,398.0,15.2,393.87,6.68,32.0
191,30.8,6.4798,5,398.0,15.2,389.71,4.69,30.5
209,100.0,3.875,4,277.0,18.6,396.9,23.09,20.0
167,79.2,2.4259,5,403.0,14.7,227.61,12.14,23.8
100,79.9,2.7778,5,384.0,20.9,394.76,9.42,27.5
445,94.8,1.9879,24,666.0,20.2,43.06,23.98,11.8
148,93.8,1.5296,5,403.0,14.7,356.99,28.32,17.8
317,71.7,4.0317,4,304.0,18.4,396.9,15.94,19.8
390,97.0,1.9265,24,666.0,20.2,394.43,17.11,15.1
117,82.6,2.7474,6,432.0,17.8,394.51,10.3,19.2
78,53.7,5.0141,5,398.0,18.7,386.4,12.34,21.2
369,96.8,1.3567,24,666.0,20.2,375.33,3.73,50.0
17,81.7,4.2579,4,307.0,21.0,386.75,14.67,17.5
326,28.9,5.4159,5,287.0,19.6,396.9,6.15,23.0
441,97.2,2.0651,24,666.0,20.2,385.96,19.52,17.1
413,100.0,1.5894,24,666.0,20.2,210.97,20.08,16.3
143,100.0,1.4118,5,403.0,14.7,396.9,26.42,15.6
272,58.7,3.9175,3,223.0,18.6,394.96,7.73,24.4
492,83.5,2.1099,4,711.0,20.1,396.9,13.35,20.1
321,54.3,4.5404,5,287.0,19.6,396.9,6.87,23.1
171,97.3,2.3887,5,403.0,14.7,348.13,12.03,19.1
11,82.9,6.2267,5,311.0,15.2,396.9,13.27,18.9
357,91.0,2.5052,24,666.0,20.2,391.34,13.27,21.7
322,49.9,4.7211,5,287.0,19.6,396.9,7.7,20.4
86,45.1,4.4272,3,247.0,18.5,395.99,12.86,22.5
411,100.0,1.5275,24,666.0,20.2,35.05,21.22,17.2
160,92.6,1.7984,5,403.0,14.7,338.92,5.5,27.0
400,100.0,1.5888,24,666.0,20.2,396.9,26.77,5.6
355,19.5,10.5857,4,334.0,22.0,376.04,5.57,20.6
297,58.0,6.32,4,289.0,16.0,396.9,15.84,20.3
235,61.5,3.6519,8,307.0,17.4,376.75,10.88,24.0
249,17.5,7.8265,7,330.0,19.1,393.74,6.56,26.2
429,95.6,1.9682,24,666.0,20.2,60.72,24.08,9.5
113,95.4,2.548,6,432.0,17.8,396.9,17.09,18.7
1,78.9,4.9671,2,242.0,17.8,396.9,9.14,21.6
358,83.4,2.7227,24,666.0,20.2,395.43,11.48,22.7
491,98.8,1.8681,4,711.0,20.1,390.11,18.07,13.6
344,28.1,6.4654,5,370.0,17.6,387.97,4.61,31.2
193,9.9,6.2196,1,265.0,15.6,393.37,5.03,31.1
207,72.7,4.3549,4,277.0,18.6,389.43,18.06,22.5
67,21.4,6.498,4,345.0,18.9,396.21,8.1,22.0
246,34.9,8.0555,7,330.0,19.1,390.18,9.16,24.3
419,76.5,1.794,24,666.0,20.2,48.45,22.74,8.4
408,97.9,1.4547,24,666.0,20.2,314.64,26.4,17.2
132,97.9,2.3274,4,437.0,21.2,385.76,11.12,23.0
386,100.0,1.4672,24,666.0,20.2,396.9,28.28,10.5
373,100.0,1.1742,24,666.0,20.2,396.9,34.77,13.8
484,41.9,3.724,24,666.0,20.2,370.73,13.34,20.6
90,66.1,3.0923,2,270.0,17.8,392.18,8.81,22.6
381,99.1,1.5192,24,666.0,20.2,396.9,21.08,10.9
122,92.9,2.0869,2,188.0,19.1,378.09,17.93,20.5
448,98.7,2.2616,24,666.0,20.2,396.9,18.13,14.1
73,6.2,5.2873,4,305.0,19.2,377.17,7.54,23.4
6,66.6,5.5605,5,311.0,15.2,395.6,12.43,22.9
158,100.0,1.7573,5,403.0,14.7,353.89,6.43,24.3
442,100.0,2.0048,24,666.0,20.2,395.69,16.59,18.4
383,100.0,1.5331,24,666.0,20.2,396.9,24.56,12.3
463,89.9,2.8016,24,666.0,20.2,393.82,10.29,20.2
435,94.6,2.1247,24,666.0,20.2,109.85,23.27,13.4
465,48.2,3.0665,24,666.0,20.2,334.4,14.13,19.9
12,39.0,5.4509,5,311.0,15.2,390.5,15.71,21.7
35,68.2,3.3603,5,279.0,19.2,396.9,9.68,18.9
478,96.7,2.1705,24,666.0,20.2,379.7,18.03,14.6
360,88.0,2.5182,24,666.0,20.2,374.56,7.79,25.0
277,27.6,4.8628,4,254.0,17.6,393.45,4.16,33.1
312,90.4,2.834,4,304.0,18.4,396.3,11.72,19.4
451,98.2,2.3552,24,666.0,20.2,355.29,17.73,15.2
133,95.4,2.4699,4,437.0,21.2,388.69,15.03,18.4
263,94.5,2.0788,5,264.0,13.0,393.42,11.25,31.0
490,98.0,1.8226,4,711.0,20.1,318.43,29.68,8.1
66,31.1,6.6115,4,337.0,16.1,396.9,10.24,19.4
138,98.2,1.6686,4,437.0,21.2,392.04,21.32,13.3
54,47.6,7.3197,3,469.0,21.1,396.9,14.8,18.9
271,16.3,4.429,3,223.0,18.6,396.9,6.59,25.2
423,85.1,2.0218,24,666.0,20.2,2.52,23.29,13.4
311,52.8,2.6403,4,304.0,18.4,396.9,5.98,22.1
21,89.2,4.0123,4,307.0,21.0,392.53,13.83,19.6
453,99.3,2.4527,24,666.0,20.2,375.87,16.74,17.8
222,77.7,3.2721,8,307.0,17.4,390.39,9.93,27.5
